,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
18979,Phillip McGloin,73,178,Guard,17,0,1.4,0.2,0.6,0.3,0.1,0.2,0.333,0.1,0.4,0.3,0.2,0.2,0.75,0.1,0.0,0.0,0.6,0.0,0.4,0.4,0.2,0,0,0,1
18980,Isaac McGlone,74,175,Guard,125,83,24.8,1.7,4.2,0.4,0.5,1.0,0.5,1.2,3.1,0.4,0.6,0.8,0.743,1.9,1.2,0.1,5.1,0.2,1.5,1.7,0.9,0,0,0,1
18981,Horace McGloster,79,205,Forward,44,1,7.8,0.7,1.7,0.405,0.5,0.9,0.564,0.2,0.8,0.405,0.4,0.5,0.696,0.3,0.2,0.3,1.9,0.6,0.7,1.3,0.2,0,0,1,0
18982,Gabe McGlothan,79,225,Forward,31,11,21.6,3.0,6.6,0.456,2.3,4.6,0.5,0.7,1.9,0.456,0.8,1.4,0.605,0.9,0.6,0.6,7.5,1.9,4.3,6.2,1.3,0,0,1,0
18983,David McGlown,69,160,Guard,12,0,3.6,0.3,1.2,0.28600000000000003,0.3,0.6,0.429,0.1,0.6,0.28600000000000003,0.7,0.8,0.8,0.0,0.0,0.0,1.4,0.2,0.4,0.6,0.4,0,0,0,1
18984,Four McGlynn,74,180,Guard,136,77,27.6,3.1,8.1,0.384,1.1,2.9,0.399,2.0,5.3,0.384,2.9,3.3,0.9,1.2,0.5,0.1,11.2,0.3,1.7,2.0,1.3,0,0,0,1
18985,Nick McGlynn,80,244,Forward,127,85,19.4,3.3,6.6,0.51,3.1,5.7,0.552,0.2,0.9,0.51,1.8,2.5,0.747,0.8,0.3,1.1,8.7,1.5,3.6,5.1,1.1,0,0,1,0
18986,Sean McGonagill,73,180,Guard,114,113,36.1,4.7,12.0,0.395,2.5,6.0,0.425,2.2,6.0,0.395,2.6,3.4,0.757,4.6,1.2,0.1,14.2,0.6,3.8,4.4,2.9,0,0,0,1
18987,Mark McGonigal,72,200,Guard,27,0,3.1,0.0,0.1,0.25,0.0,0.1,0.25,0.0,0.0,0.25,0.1,0.2,0.4,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.3,0,0,0,1
18988,Cedric McGowan,79,225,Forward,64,57,28.4,3.3,7.4,0.443,2.9,5.9,0.495,0.3,1.5,0.443,1.5,2.0,0.721,1.0,0.7,0.4,8.4,2.1,4.1,6.2,1.3,0,0,1,0
18989,Cyrus McGowan,81,237,Forward,104,43,10.0,0.9,2.1,0.426,0.8,1.6,0.462,0.2,0.5,0.426,0.7,1.1,0.649,0.3,0.2,0.5,2.7,1.0,1.5,2.5,0.8,0,0,1,0
18990,Glen McGowan,81,230,Forward,93,59,28.9,4.8,10.1,0.472,4.0,7.7,0.518,0.8,2.4,0.472,3.9,5.6,0.688,0.6,0.7,0.2,14.1,1.8,3.4,5.2,1.9,0,0,1,0
18991,Kenny McGowan,72,170,Guard,59,38,25.8,3.7,9.7,0.379,2.0,4.4,0.45,1.7,5.3,0.379,2.9,3.7,0.7909999999999999,1.9,0.9,0.0,12.0,0.4,1.1,1.5,2.1,0,0,0,1
18992,Clay McGowen,83,235,Center,103,34,16.3,1.1,2.6,0.422,1.1,2.6,0.424,0.0,0.1,0.422,0.8,1.2,0.617,0.4,0.2,0.5,3.0,1.5,1.9,3.4,1.0,0,1,0,0
18993,Cliff McGowen,81,226,Forward,11,0,2.7,0.3,0.8,0.333,0.3,0.8,0.333,0.0,0.0,0.333,0.3,0.5,0.5,0.0,0.0,0.0,0.8,0.5,0.2,0.7,0.0,0,0,1,0
18994,Davaris McGowens,79,230,Forward,62,46,24.1,3.9,7.2,0.537,3.9,7.2,0.5379999999999999,0.0,0.0,0.537,2.3,3.5,0.66,1.1,0.7,0.5,10.1,2.0,4.1,6.1,1.5,0,0,1,0
18995,Trey McGowens,75,185,Guard,33,32,27.8,3.4,8.2,0.417,2.5,5.2,0.468,1.0,3.0,0.417,3.8,5.0,0.764,1.7,1.9,0.1,11.6,0.6,2.6,3.2,2.4,0,0,0,1
18997,Chance McGrady,74,183,Guard,52,1,2.3,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.0,0.5,0.2,0.3,0.529,0.3,0.0,0.0,0.4,0.1,0.3,0.4,0.1,0,0,0,1
18998,Mike McGrain,75,210,Guard,75,49,23.6,0.9,2.4,0.363,0.7,1.8,0.394,0.2,0.6,0.363,1.1,2.1,0.551,4.1,1.0,0.1,3.1,0.8,2.2,3.0,2.4,0,0,0,1
19000,Donnie McGrath,76,190,Guard,118,117,35.0,3.5,9.1,0.387,1.2,2.7,0.443,2.3,6.4,0.387,1.5,1.8,0.836,3.6,1.1,0.1,10.9,0.3,1.8,2.1,1.9,0,0,0,1
19001,Tim McGrath,77,187,Forward,14,0,6.9,0.1,1.1,0.125,0.1,0.6,0.125,0.1,0.6,0.125,0.3,0.5,0.5710000000000001,0.4,0.1,0.0,0.6,0.4,0.7,1.1,0.2,0,0,1,0
19004,Jason McGraw,75,190,Guard,14,1,4.3,0.2,0.6,0.333,0.1,0.4,0.4,0.1,0.3,0.333,0.3,0.6,0.444,0.3,0.3,0.0,0.8,0.5,0.2,0.7,0.3,0,0,0,1
19005,Edrico McGregor,79,225,Forward,61,28,20.5,2.4,3.8,0.62,2.4,3.8,0.618,0.0,0.0,0.62,1.0,1.7,0.5660000000000001,0.7,0.4,0.3,5.8,1.9,3.2,5.1,1.7,0,0,1,0
19008,D'Andre McGrew,76,230,Guard,49,18,20.0,2.1,5.4,0.386,1.2,2.4,0.504,0.9,3.0,0.386,1.4,1.8,0.816,1.9,0.8,0.0,6.5,0.9,1.7,2.6,2.2,0,0,0,1
19009,Rayshaun McGrew,79,230,Forward,96,67,21.7,3.2,6.7,0.484,3.2,6.6,0.487,0.0,0.1,0.484,1.2,2.1,0.562,0.8,0.5,0.1,7.6,1.9,3.6,5.5,1.1,0,0,1,0
19010,Cameron McGriff,79,220,Forward,100,50,24.5,2.6,6.1,0.416,1.9,4.0,0.468,0.7,2.1,0.416,2.4,3.1,0.79,1.1,0.8,0.5,8.2,1.9,3.4,5.3,1.4,0,0,1,0
19011,Walt McGrory,75,200,Guard,22,0,4.7,0.1,0.5,0.2,0.0,0.1,0.0,0.1,0.3,0.2,0.2,0.3,0.7140000000000001,0.2,0.2,0.0,0.5,0.0,0.5,0.5,0.4,0,0,0,1
19012,Rodney McGruder,76,205,Guard,135,100,27.4,4.2,9.3,0.452,2.8,5.7,0.498,1.4,3.7,0.452,1.9,2.5,0.759,1.4,0.9,0.3,11.7,1.9,3.0,4.8,1.3,1,0,0,1
19014,Dominic McGuire,81,220,Guard,86,59,25.0,3.3,7.2,0.462,3.0,6.0,0.5,0.3,1.1,0.462,1.8,3.2,0.556,2.0,0.6,1.9,8.7,1.7,4.6,6.3,2.4,1,0,0,1
19015,Elijah McGuire,71,208,Guard,16,0,3.7,0.3,0.9,0.28600000000000003,0.2,0.4,0.429,0.1,0.4,0.28600000000000003,0.1,0.3,0.2,0.2,0.1,0.0,0.6,0.1,0.7,0.8,0.1,0,0,0,1
19016,Jeremee McGuire,83,212,Forward,61,16,19.9,2.3,4.7,0.502,2.2,4.2,0.529,0.1,0.4,0.502,1.2,2.3,0.525,1.0,0.7,1.4,6.0,1.1,3.3,4.4,2.0,0,0,1,0
19017,Julienne McGuire,70,155,Guard,14,0,4.1,0.5,1.7,0.292,0.3,1.1,0.25,0.2,0.6,0.292,0.1,0.1,0.5,0.2,0.4,0.0,1.3,0.2,0.4,0.6,0.5,0,0,0,1
19018,Markese McGuire,75,200,Guard,88,16,13.0,1.0,3.2,0.31,0.6,2.0,0.294,0.4,1.2,0.31,0.8,1.3,0.645,0.5,0.3,0.1,3.2,0.3,1.1,1.5,0.7,0,0,0,1
19019,Mike McGuirl,74,195,Guard,46,2,15.7,1.2,3.5,0.358,0.7,1.6,0.466,0.5,1.9,0.358,0.6,0.8,0.667,1.2,0.6,0.1,3.5,0.5,1.0,1.5,0.6,0,0,0,1
