,height,weight,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
10232,77,214,130,129,30.9,4.4,10.1,0.433,3.4,7.3,0.474,0.9,2.9,0.433,3.6,4.8,0.7490000000000001,2.2,0.9,0.2,13.3,1.5,2.9,4.5,1.7,1,0,1,0
10310,74,180,131,96,24.5,4.0,9.3,0.436,2.1,4.3,0.48,2.0,5.0,0.436,1.7,2.2,0.758,1.8,1.0,0.0,11.8,0.4,1.6,1.9,1.6,1,0,0,1
10322,81,225,105,104,32.7,4.8,8.2,0.58,4.8,8.2,0.58,0.0,0.0,0.58,2.9,4.6,0.629,1.4,0.7,2.4,12.4,2.9,5.6,8.5,2.5,1,0,1,0
10333,77,215,122,105,29.0,5.1,10.9,0.464,3.4,6.2,0.551,1.7,4.8,0.464,1.5,2.5,0.602,1.9,1.0,0.8,13.3,1.0,4.7,5.7,1.9,1,0,0,1
10372,81,190,62,32,22.0,4.9,9.8,0.4970000000000001,4.5,8.2,0.54,0.4,1.5,0.4970000000000001,4.0,5.1,0.7829999999999999,1.5,1.2,0.6,14.1,1.8,2.9,4.7,2.4,1,0,1,0
10484,83,205,85,83,26.8,2.6,5.8,0.442,2.6,5.8,0.445,0.0,0.0,0.442,2.1,3.2,0.667,0.5,0.6,4.7,7.3,1.6,5.4,7.0,1.6,1,0,1,0
10619,79,250,116,115,35.1,6.8,13.0,0.519,6.1,11.0,0.5489999999999999,0.7,2.0,0.519,4.2,5.3,0.789,2.3,1.6,0.4,18.4,3.3,5.5,8.9,2.3,1,0,1,0
10620,82,240,64,16,8.6,1.4,2.3,0.588,1.4,2.3,0.5920000000000001,0.0,0.0,0.588,0.3,0.7,0.452,0.1,0.2,0.4,3.0,0.5,0.9,1.4,0.5,1,1,0,0
10706,77,198,33,33,31.8,4.8,10.8,0.44,4.2,8.9,0.478,0.5,1.9,0.44,4.1,6.4,0.637,2.7,1.1,0.5,14.1,1.5,3.2,4.6,3.1,1,0,0,1
10721,81,225,38,38,31.2,5.0,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.495,2.0,4.7,0.422,2.0,0.9,1.0,12.4,2.7,5.3,8.0,1.4,1,0,1,0
