,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers
20489,Sam Muldrow,6-9,229,Forward,110,86,23.5,3.1,7.0,.444,2.8,5.8,.478,0.3,1.2,.444,1.3,2.0,.664,0.3,0.6,2.5,7.8,2.1,3.5,5.6,1.1
20490,Jordan Mulford,5-8,160,Guard,27,4,14.7,1.3,3.1,.412,0.2,0.6,.333,1.1,2.6,.412,1.1,1.1,.935,0.6,0.6,0.0,4.8,0.3,0.6,0.9,0.7
20491,Sean Mulholland,6-1,175,Guard,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20492,Marin Mulic,6-10,260,Center,47,13,11.1,1.3,2.8,.477,1.1,2.3,.495,0.2,0.4,.477,0.5,0.9,.625,0.2,0.1,0.1,3.3,0.8,1.2,2.0,0.5
20493,Byron Mulkey,6-0,175,Guard,85,55,25.6,3.0,7.6,.400,2.0,4.7,.426,1.0,2.8,.400,2.0,2.5,.773,3.3,1.5,0.0,9.0,0.4,2.5,2.8,2.1
20494,Jeff Mullahey,6-3,185,Guard,63,30,22.5,1.8,5.3,.346,0.8,2.2,.355,1.1,3.1,.346,1.3,1.7,.769,1.1,0.9,0.1,6.1,1.1,1.8,3.0,0.8
20495,Sean Mullan,6-6,220,Guard,12,0,2.5,0.2,0.8,.200,0.2,0.5,.333,0.0,0.3,.200,0.1,0.3,.333,0.0,0.1,0.0,0.4,0.3,0.0,0.3,0.2
20496,Conor Mullen,6-5,208,Guard,54,1,6.2,0.6,1.5,.430,0.3,0.7,.500,0.3,0.8,.430,0.2,0.4,.591,0.4,0.2,0.1,1.8,0.3,0.8,1.0,0.4
20497,Daine Muller,6-4,202,Guard,21,1,9.9,0.6,1.3,.464,0.0,0.0,,0.6,1.3,.464,0.1,0.2,.750,0.9,0.1,0.0,2.0,0.0,0.8,0.9,0.4
20498,Malik Muller,6-3,220,Guard,33,20,20.0,2.2,5.6,.391,0.9,2.3,.403,1.2,3.2,.391,0.5,1.0,.563,1.4,0.9,0.1,6.2,0.2,2.2,2.5,1.3
20499,Matt Mullery,6-8,235,Forward,111,77,24.7,3.8,6.9,.552,3.6,6.1,.581,0.2,0.7,.552,2.4,3.6,.668,1.8,0.6,1.5,10.2,1.2,3.4,4.6,1.9
20500,Peter Mulligan,6-5,205,Forward,116,91,30.1,5.3,11.8,.449,4.4,8.9,.491,0.9,2.8,.449,3.8,5.1,.760,2.1,1.7,0.4,15.3,1.9,3.8,5.7,2.1
20501,Daniel Mullings,6-2,170,Guard,128,113,31.3,4.5,9.7,.467,4.1,8.3,.492,0.4,1.4,.467,3.6,5.1,.711,2.7,1.9,0.5,13.1,1.6,3.1,4.8,2.5
20502,Bryan Mullins,6-1,185,Guard,122,119,32.6,2.6,6.3,.409,1.5,3.6,.423,1.0,2.7,.409,1.6,2.2,.713,4.2,2.1,0.0,7.7,0.5,1.8,2.3,2.1
20503,Chris Mullins,6-3,170,Guard,32,21,28.8,3.8,9.9,.389,2.9,6.9,.427,0.9,3.0,.389,3.4,4.7,.720,2.7,1.2,0.1,12.0,0.8,2.1,2.8,2.4
20504,Grant Mullins,6-3,175,Guard,117,102,30.2,3.5,8.0,.434,1.6,3.4,.473,1.9,4.6,.434,2.4,2.9,.850,2.4,0.9,0.1,11.2,0.4,2.9,3.3,1.4
20505,Josh Mullins,6-5,225,Guard,62,55,28.0,3.8,7.8,.495,2.2,3.8,.575,1.7,4.0,.495,1.3,1.9,.698,2.4,1.4,0.4,10.7,1.2,2.7,3.9,2.2
20506,Joshua Mullins,6-3,180,Guard,13,1,3.4,0.1,0.5,.167,0.0,0.2,.000,0.1,0.2,.167,0.2,0.2,1.000,0.2,0.0,0.0,0.4,0.0,0.1,0.1,0.1
20507,Matt Mullins,6-1,170,Guard,8,0,1.3,0.3,0.6,.400,0.1,0.3,.500,0.1,0.4,.400,0.3,0.3,1.000,0.1,0.0,0.0,0.9,0.3,0.0,0.3,0.0
20508,Garrett Mullis,6-8,230,Center,1,0,11.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,.500,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,4.0,4.0,1.0
20509,Jonathan Mulmore,6-4,185,Guard,62,41,21.4,1.2,2.9,.412,0.8,2.0,.413,0.4,1.0,.412,1.7,2.3,.761,2.6,0.7,0.1,4.6,0.3,1.4,1.7,1.5
20510,Kevin Mulquin,6-8,215,Forward,17,0,3.5,0.5,1.0,.471,0.5,1.0,.471,0.0,0.0,.471,0.0,0.1,.000,0.1,0.1,0.3,0.9,0.3,0.3,0.6,0.2
20511,JT Mumber,6-7,205,Forward,7,1,1.1,0.1,0.3,.500,0.1,0.3,.500,0.0,0.0,.500,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.1,0.1,0.1
20512,Kahlil Mumford,5-11,170,Guard,11,0,12.3,1.0,3.3,.306,0.3,0.5,.600,0.7,2.8,.306,0.2,0.3,.667,0.4,0.4,0.0,2.9,0.3,0.6,0.9,1.0
20513,Djordjije Mumin,6-2,200,Guard,66,21,8.4,0.6,1.9,.339,0.1,0.3,.278,0.6,1.6,.339,0.1,0.1,.667,0.1,0.1,0.0,1.9,0.2,0.6,0.8,0.3
20514,Jadarren Mumpfield,5-11,180,Guard,10,1,10.0,0.3,0.8,.375,0.2,0.3,.667,0.1,0.5,.375,0.1,0.2,.500,1.4,0.3,0.0,0.8,0.0,0.5,0.5,1.1
